AYPR01000038.52.1523,GU305803.1.1484,FJ484550.1.1355,EU801039.1.1483,HM856413.1.1459,HM346776.1.1224,KF596564.1.1479,DQ316371.1.1498,GU305765.1.1485,FN668354.1.1476,AY466490.1.1213,FJ827858.1.1495,GQ390228.1.1437,GQ390219.1.1456,FR823005.1.1439,JF715448.1.1336,HQ178716.1.1411,HE998782.1.1417,GU305853.1.1450,JN869113.1.1505,GQ130121.1.1426,KC620753.1.1476,EU801876.1.1485,HE574374.1.1795,AJ536838.1.1378,HM263347.1.1344,FJ612159.1.1423,JN232894.1.1452,U85190.1.1261,HM856568.1.1440,FN668259.1.1474,HQ111526.1.1402,GU134623.1.1403,AB661551.1.1458,FQ658932.1.1312,GU305742.1.1480,HM326201.1.1345,EF520595.1.1473,EU800831.1.1486,EU800121.1.1312,DQ521525.1.1438,EF520410.1.1418,KP866212.1.1451,EU234319.1.1490,FR772057.1.1466,GU295969.1.1408,FN668271.1.1326,GQ099813.1.1347,GU305850.1.1452,JX304649.1.1325,EU801647.1.1478,GU127276.1.1220,AF361205.1.1491,JX521426.1.1486,FJ820388.1.1423,JF733429.1.1501,HM856394.1.1444,HK555864.1.1483,HQ856435.1.1447,JF697432.1.1492,FN668214.1.1474,AY921960.1.1345,EU703338.1.1342,GQ402766.1.1408,HM129636.1.1445,HK556560.1.1527,FQ658568.1.1343,GU305760.1.1474,JX114362.1.1470,HM638233.1.1390,GQ870455.1.1457,JX521044.1.1482,FN668262.1.1467,JN869032.1.1484,FJ947138.1.1499,HE583160.1.1379,JF697392.1.1466,GQ500892.1.1448,HM856482.1.1436,FN668098.1.1488,HM128425.1.1438,AM230494.1.1503,EF520552.1.1465,FN668308.1.1471,KF441562.1.1494,FN421512.1.1361,FM204983.1.1452,FJ946569.1.1290,FJ820482.1.1477,JN869123.1.1501,JQ905994.1.1345,KF064814.1.1344,GU305706.1.1485,HM128717.1.1432,HQ532656.1.1513,GQ500814.1.1436,HQ219919.1.1407,AF418961.1.1506,EU117811.1.1506,HM128417.1.1455,FN668139.1.1473,AY752128.1.1414,DQ316384.1.1482,KM035956.1.1424,KX163603.1.1375,JN866584.1.1771,GU120578.1.1440,HM127377.1.1441,GU472712.1.1450,JN656723.1.1490,HG423553.1.1283,AY168735.1.1306,HE574392.1.1305,GU293203.1.1475,FJ502260.1.1488,FN668038.1.1504,HM126781.1.1455,HM446104.1.1450,GU305721.1.1496,FQ659763.1.1283,FN668126.1.1484,KF827012.1.1400,JF139490.1.1343,GU293187.1.1498,GQ340074.1.1468,KU514515.1.1475,HQ178852.1.1434,JF501055.1.1349,EF471629.1.1438,CU918585.1.1306,GDHX01215817.4.1477,ANFY01000003.289752.291219,JN868831.1.1479,AB930558.1.1451,HM856480.1.1443,FJ382059.1.1209,KP745046.1.1444,FJ612200.1.1491,HM129427.1.1440,FN668181.1.1494,FN668106.1.1476,GQ396960.1.1456,EU703418.1.1485,JX222852.1.1443,GU127206.1.1228,JN626727.1.1334,FN668303.1.1462,HQ856333.1.1472,HM129375.1.1455,FJ820479.1.1477,AB753922.1.1459,GQ263306.1.1429,FJ950694.1.1472,HM856412.1.1437,FJ572664.1.1483,EU117671.1.1506,JN035169.1.1231,GQ263344.1.1456,AB806518.1.1446,EU703408.1.1480,AB690722.1.1296,FJ592644.1.1224,HM069053.1.1447,AUSH02000015.468.1961,AF529117.1.1420,AF493635.1.1300,HE589843.1.1459,GQ397014.1.1469,HM129561.1.1443,FN668191.1.1477,GQ389095.1.1445,FN824908.1.1282,HM129595.1.1447,FJ382196.1.1372,GQ144413.1.1379,EU937955.1.1474,HM129796.1.1447,KM105805.1.1457,HM128919.1.1456,HM129990.1.1435,FN668055.1.1412,JN868729.1.1508,GU305778.1.1502,JX223906.1.1390,JF265791.1.1314,FN668275.1.1286,HM128951.1.1451,HM128604.1.1442,AB753878.1.1447,HM346768.1.1219,HQ115551.1.1213,DQ316373.1.1526,AY752098.1.1391,GU305795.1.1496,FN668188.1.1485,JN626666.1.1336,FR772074.1.1464,AB154307.1.1434,FM201052.1.1344,JN868756.1.1531,AY752119.1.1395,FN668148.1.1473,KC189643.1.1486,FM200864.1.1352,JX406245.1.1480,HM185888.1.1371,KM051660.1.1454,HM129033.1.1447,FR774633.1.1303,FN668062.1.1473,HM856448.1.1440,AY948005.1.1440,HM129128.1.1449,AY447040.1.1494,FN794266.1.1442,New.ReferenceOTU8,New.ReferenceOTU2,New.ReferenceOTU325,New.ReferenceOTU324,New.ReferenceOTU429,New.ReferenceOTU425,New.ReferenceOTU427,New.ReferenceOTU420,New.ReferenceOTU378,New.ReferenceOTU370,New.ReferenceOTU371,New.ReferenceOTU373,New.ReferenceOTU144,New.ReferenceOTU178,New.ReferenceOTU179,New.ReferenceOTU416,New.ReferenceOTU44,New.ReferenceOTU194,New.ReferenceOTU295,New.ReferenceOTU294,New.ReferenceOTU334,New.ReferenceOTU381,New.ReferenceOTU386,New.ReferenceOTU34,New.ReferenceOTU245,New.ReferenceOTU247,New.ReferenceOTU457,New.ReferenceOTU456,New.ReferenceOTU459,New.ReferenceOTU106,New.ReferenceOTU349,New.ReferenceOTU72,New.ReferenceOTU74,New.ReferenceOTU118,New.ReferenceOTU113,New.ReferenceOTU281,New.ReferenceOTU230,New.ReferenceOTU97,New.ReferenceOTU494,New.ReferenceOTU155,New.ReferenceOTU158,New.ReferenceOTU408,New.ReferenceOTU462,New.ReferenceOTU353,New.ReferenceOTU357,New.ReferenceOTU63,New.ReferenceOTU60,New.ReferenceOTU12,New.ReferenceOTU17,New.ReferenceOTU226,New.ReferenceOTU227,New.ReferenceOTU84,New.ReferenceOTU483,New.ReferenceOTU313,New.ReferenceOTU310,New.ReferenceOTU364,New.ReferenceOTU183,New.ReferenceOTU52,New.ReferenceOTU58,New.ReferenceOTU460,New.ReferenceOTU212,New.ReferenceOTU211,New.ReferenceOTU210,New.CleanUp.ReferenceOTU2558,New.CleanUp.ReferenceOTU6011,New.CleanUp.ReferenceOTU7427,New.CleanUp.ReferenceOTU15686,New.CleanUp.ReferenceOTU47925,New.CleanUp.ReferenceOTU51707,New.CleanUp.ReferenceOTU60660,New.CleanUp.ReferenceOTU66231,New.CleanUp.ReferenceOTU66429,New.CleanUp.ReferenceOTU72144,New.CleanUp.ReferenceOTU75781,New.CleanUp.ReferenceOTU77685,New.CleanUp.ReferenceOTU102019,New.CleanUp.ReferenceOTU103146,New.CleanUp.ReferenceOTU107667,New.CleanUp.ReferenceOTU121430,New.CleanUp.ReferenceOTU123418,New.CleanUp.ReferenceOTU131884,New.CleanUp.ReferenceOTU137586,New.CleanUp.ReferenceOTU155956
1,28,0,11,4,1,20,2,0,5,11,7,9,1,0,2,2,1,0,2,0,0,9,8,21,0,10,3,10,4,67,0,4,2,0,16,0,0,133,2,56,0,0,2,0,0,11,0,1,4,0,3,1,0,0,5,2,0,11,2,9,0,0,0,8,0,0,4,0,0,0,0,2,0,0,0,3,0,11,1,1,0,0,2,0,1,2,0,1,5,2,0,4,5,2,2,1,2,16,10,1,0,2,0,41,1,0,9,2,10,2,1,116,3,1,6,13,5,2,0,5,1,0,1,6,1,1,3,0,2,1,10,3,9,39,0,9,1,12,2,10,0,3,0,26,35,13,4,7,0,17,1,33,30,24,255,5,1,0,0,1,1,2,1,0,0,4,0,2,0,4,0,11,2,0,0,2,0,51,18,3,0,3,1,0,2,6,39,12,0,0,63,15,12,1,7,0,0,2,1,10,2,0,4,6,3,0,39,4,1,43,19,9,0,4,25,0,1,0,1,2,6,17,5,0,1,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,6,0,1,3,0,0,2,14,3,3,2,0,2,0,0,5,2,3,2,0,0,13,8,0,0,2,7,11,14,12,5,9,4,1,14,6,1,0,1,1,0,4,0,1,2,0,0,0,6,10,1,0,2,4,2,10
0,37,0,10,4,0,17,0,0,1,4,4,8,2,0,1,0,0,1,1,1,0,4,13,23,0,11,8,15,0,111,0,4,1,1,11,0,0,155,2,46,0,0,1,0,0,6,0,2,1,0,1,0,0,0,4,1,0,8,3,5,0,0,0,13,1,0,1,0,0,0,0,7,0,0,0,0,0,5,2,0,0,0,2,0,0,0,0,1,6,2,0,4,11,0,1,0,2,11,9,0,0,1,4,39,0,0,2,1,5,1,1,104,1,0,8,12,6,1,0,1,0,0,0,3,0,1,1,0,1,1,5,0,2,25,0,7,0,6,3,4,0,0,0,20,41,6,2,7,0,15,1,12,20,14,286,8,1,0,1,1,0,2,0,0,0,4,0,0,0,3,0,8,1,0,0,3,1,41,22,1,0,2,0,2,4,2,30,7,1,0,53,9,6,0,8,1,0,4,0,10,2,0,2,10,0,0,28,0,0,23,10,8,0,1,32,0,4,1,0,2,3,22,2,0,0,0,0,0,2,0,0,0,1,0,0,6,0,2,0,0,2,12,0,1,4,0,0,3,17,1,2,4,0,1,2,0,4,1,2,2,0,1,10,4,0,1,1,12,8,12,20,6,10,3,0,12,1,4,0,0,0,0,1,0,0,1,0,0,0,5,10,0,0,3,2,0,10
0,20,0,18,6,1,16,2,2,6,8,7,9,3,0,0,0,0,1,0,1,0,6,21,36,0,7,5,17,5,142,0,3,0,2,12,0,0,170,1,63,0,0,3,0,0,7,1,1,3,0,1,0,0,0,2,1,0,7,2,13,0,0,0,13,2,1,1,0,0,0,0,2,0,0,0,2,0,9,2,0,0,0,1,0,0,0,0,0,5,0,0,6,12,5,0,0,0,9,8,1,0,2,2,43,1,0,1,1,17,1,2,119,2,3,8,9,7,1,0,2,2,0,0,1,0,0,1,0,1,1,4,2,7,40,0,13,1,14,2,10,0,2,0,20,36,12,1,13,1,20,0,4,41,14,221,7,2,0,0,0,1,2,1,0,0,7,2,1,0,5,0,10,2,0,1,6,1,40,18,3,0,1,2,2,5,6,63,18,0,0,178,39,20,0,8,0,0,3,1,16,3,0,3,4,1,0,34,3,0,50,33,14,1,3,11,0,1,1,0,6,4,16,4,0,0,2,0,0,1,0,0,0,1,1,0,4,0,1,0,0,1,8,0,0,3,0,0,1,8,0,2,5,0,0,0,0,3,1,2,2,0,0,10,3,0,0,2,46,6,7,8,6,5,3,0,13,1,3,0,0,0,0,1,0,0,1,0,0,0,11,6,0,0,0,2,0,8
1,12,0,16,4,4,12,1,2,6,6,4,6,7,0,0,2,0,1,3,0,0,6,5,23,0,4,15,15,4,166,0,16,1,1,25,0,0,196,1,76,0,0,5,0,0,27,2,2,5,0,4,0,0,3,13,10,0,6,5,9,1,0,0,38,3,2,6,0,0,0,0,3,1,0,1,3,1,12,6,4,0,0,2,0,0,2,0,3,6,2,0,30,9,12,3,0,1,4,11,0,1,0,0,57,6,0,6,0,4,1,2,65,8,6,20,9,4,2,0,12,1,0,0,22,0,1,2,2,9,1,3,0,10,43,0,6,2,15,3,11,0,8,2,29,20,6,0,3,2,29,0,21,23,15,127,5,7,0,0,3,2,4,1,1,0,11,2,6,1,6,0,18,6,0,0,3,1,30,7,1,0,6,2,5,20,12,38,6,1,0,86,31,12,4,4,0,0,3,4,6,12,1,7,3,2,0,8,0,1,47,48,16,3,4,8,0,2,0,1,1,4,8,6,0,0,5,0,0,3,2,0,0,1,2,0,4,2,0,0,0,0,8,0,2,5,0,1,4,10,0,3,1,0,1,3,1,7,2,6,4,0,0,42,4,1,0,2,4,3,6,10,5,2,5,0,6,1,5,0,0,0,0,5,0,0,1,0,0,0,5,1,0,0,4,1,2,5
0,20,0,22,3,1,14,0,0,9,6,9,9,0,0,0,1,0,1,4,1,0,7,13,39,0,6,7,16,2,241,0,4,0,1,15,0,0,260,1,101,0,0,1,0,0,24,2,2,1,0,4,0,0,2,2,10,0,4,2,17,0,0,0,16,2,2,0,0,0,0,0,6,0,0,0,2,0,10,1,4,0,0,5,0,0,2,1,3,3,1,1,6,14,10,0,0,0,11,6,0,0,0,1,76,1,0,4,1,6,1,0,112,0,1,17,11,3,0,0,1,0,0,0,4,0,2,1,0,3,0,3,1,8,42,0,6,0,12,0,7,0,4,0,26,35,9,0,8,2,17,1,6,29,19,233,3,2,0,1,0,0,0,0,0,0,8,0,4,0,4,0,14,5,0,0,4,2,38,11,0,0,2,1,0,18,12,55,9,0,0,33,41,7,1,7,0,0,3,5,13,5,0,5,4,0,0,18,0,2,52,50,14,3,0,13,1,2,0,0,2,3,12,3,0,0,5,0,0,1,2,0,0,2,1,0,2,2,1,0,0,1,8,0,0,4,0,0,3,9,0,1,5,0,0,1,0,3,1,2,4,0,0,21,3,0,0,1,4,4,6,11,6,6,1,0,4,2,3,0,0,0,0,3,0,1,0,0,0,0,8,2,0,0,0,4,0,10
0,26,0,15,3,0,16,1,2,7,6,6,10,4,1,0,2,0,1,2,2,0,12,7,27,0,4,6,12,0,120,0,4,1,1,15,0,0,176,1,59,0,0,2,0,0,22,2,0,2,0,4,0,1,1,20,5,0,5,4,7,0,0,0,8,3,0,0,0,0,0,0,6,0,0,0,2,0,17,5,6,0,0,7,0,0,1,1,3,3,1,0,10,7,4,2,0,1,14,7,0,0,1,0,43,0,0,2,0,5,3,0,147,0,4,12,6,3,1,0,2,0,0,0,4,0,1,1,0,6,3,5,0,12,46,0,6,0,7,1,7,0,4,3,28,24,12,1,6,3,19,4,55,24,16,228,3,1,1,0,0,2,1,0,0,0,8,0,6,0,4,0,16,0,0,0,4,2,36,9,1,0,3,1,1,12,13,10,8,0,0,22,9,6,2,7,0,1,4,4,5,7,0,5,3,3,0,21,1,1,35,24,10,0,0,11,0,3,0,0,1,2,14,2,0,1,8,1,0,2,1,0,0,1,1,0,8,1,4,0,0,1,10,1,2,8,1,0,1,17,0,1,1,0,1,7,0,4,1,2,1,0,0,15,1,0,0,1,1,6,9,16,6,9,1,0,8,2,4,0,0,0,0,3,0,1,0,0,0,0,5,7,0,0,3,8,1,8
1,26,0,11,2,1,16,0,1,8,8,6,7,1,0,0,3,0,2,3,1,0,16,10,14,0,4,6,13,4,90,0,18,0,0,8,0,0,222,2,74,1,0,5,0,0,15,4,0,1,1,5,0,0,10,2,6,0,4,2,12,0,0,0,11,9,1,0,0,0,0,0,6,0,0,0,3,0,11,7,8,0,0,3,0,0,1,2,6,2,1,1,7,6,6,0,2,3,6,7,0,2,0,1,52,1,0,1,0,2,1,0,82,0,4,4,11,3,1,0,2,1,0,0,2,0,2,0,0,6,2,4,0,12,49,1,5,0,11,2,9,0,1,2,21,23,4,0,4,7,10,1,8,19,16,176,2,6,0,0,0,0,2,0,0,0,8,0,10,0,5,0,21,8,1,0,5,1,35,7,0,0,2,0,1,9,11,18,9,1,0,35,8,9,2,7,0,4,8,9,5,7,0,6,5,1,0,13,2,1,26,37,11,2,0,11,0,4,1,1,2,1,9,3,2,4,10,2,0,5,0,0,0,3,2,0,9,2,3,0,1,1,6,0,2,19,1,0,0,15,1,1,2,0,0,0,0,2,1,7,4,0,0,73,1,0,1,1,0,5,9,17,4,9,2,0,9,10,0,0,0,0,1,1,0,1,0,0,0,0,6,6,0,0,11,6,2,3
0,11,0,7,4,1,12,0,0,5,2,2,3,1,3,0,4,0,6,2,0,0,7,19,14,1,3,14,7,3,85,0,15,0,1,18,1,1,157,1,47,12,0,7,2,1,9,4,1,2,1,2,0,1,7,2,16,0,4,4,17,0,0,0,35,6,1,0,0,8,2,4,4,0,0,0,16,0,8,10,12,0,0,1,0,0,1,3,9,6,0,1,23,6,8,2,0,14,4,11,0,4,0,2,43,2,0,6,1,3,1,1,25,0,10,11,15,1,1,0,1,0,0,3,15,0,3,0,0,12,0,2,1,26,30,1,4,1,5,4,21,1,8,0,26,19,2,2,2,12,28,0,6,10,8,104,3,5,0,2,1,0,2,3,0,0,6,0,26,1,3,0,12,8,0,0,1,1,35,4,1,0,4,1,0,9,26,26,4,5,1,9,11,5,4,2,0,6,7,5,4,20,0,6,6,1,1,9,2,0,20,42,14,3,1,8,1,5,0,1,2,4,5,4,1,5,24,9,2,5,0,0,0,4,2,0,8,2,1,1,0,4,2,0,7,11,2,0,3,10,0,0,3,0,2,0,0,2,1,5,6,5,0,46,5,0,1,3,0,6,6,15,5,3,3,1,6,3,5,1,0,0,1,4,0,8,0,0,0,0,3,4,0,0,6,6,1,3
1,18,0,12,2,1,9,0,0,5,3,1,5,1,1,1,2,0,2,4,0,0,9,25,17,0,4,10,7,1,86,0,16,0,1,18,0,0,141,2,49,1,0,9,0,0,6,11,0,1,0,3,0,1,6,2,21,0,4,1,9,0,0,0,19,6,1,0,0,1,1,0,4,0,0,0,11,1,6,14,15,0,0,2,0,0,1,1,10,3,0,1,11,4,4,1,0,1,7,8,0,1,0,3,38,0,0,6,0,2,0,0,60,1,8,11,8,3,0,0,3,0,1,0,12,0,4,0,0,7,0,1,1,30,29,0,3,0,8,0,18,0,4,0,21,23,6,1,3,14,17,0,4,11,7,190,2,11,1,2,0,0,3,1,0,0,9,0,26,0,5,0,9,8,0,0,3,2,28,5,0,0,6,1,1,5,36,12,4,2,0,6,5,9,2,5,1,6,9,6,6,14,0,9,4,1,0,11,2,0,19,18,11,1,1,9,1,6,0,0,3,2,14,3,0,2,26,0,0,3,2,0,0,5,3,1,11,2,1,0,0,3,2,0,7,13,0,0,2,7,0,1,3,0,1,1,0,3,2,6,6,0,0,50,2,0,0,1,0,4,12,16,4,5,1,0,3,5,4,0,0,0,0,5,0,0,0,0,0,1,7,6,0,0,7,6,1,4
1,5,0,6,2,0,14,0,2,10,2,1,1,0,0,0,7,0,2,5,0,0,14,10,7,0,2,22,4,4,36,0,21,0,0,8,0,0,376,3,147,0,0,14,0,0,33,3,2,1,0,1,0,1,8,1,0,0,5,1,22,1,0,0,7,10,0,0,0,0,0,0,2,0,0,3,3,0,14,5,7,0,0,6,0,0,0,0,5,2,2,0,4,4,16,4,0,0,2,4,0,0,0,1,118,0,0,0,0,6,0,0,12,1,2,2,14,7,0,0,1,0,0,0,0,0,5,0,0,12,1,4,0,8,38,0,14,0,6,0,5,0,2,1,16,8,2,0,1,5,12,1,4,29,6,41,5,10,0,2,3,1,10,0,0,0,11,0,9,0,8,2,23,12,0,0,4,1,42,2,2,0,1,0,1,20,7,47,14,0,0,4,24,22,2,2,0,2,16,18,2,7,0,14,2,0,0,2,1,1,44,122,13,9,0,3,0,5,0,0,1,4,3,3,1,1,8,0,0,8,1,0,0,2,8,0,13,1,1,0,0,0,5,0,1,19,0,0,0,12,0,2,1,0,1,1,0,8,3,18,11,0,0,74,2,1,1,0,0,3,1,24,3,2,2,0,8,0,0,0,2,0,0,1,0,0,1,0,0,0,3,3,0,0,2,7,4,1
1,4,0,4,4,0,16,0,0,14,3,2,1,1,0,0,3,0,2,4,0,0,17,12,8,0,2,14,2,4,30,0,20,0,1,9,0,0,404,3,162,1,0,11,0,0,40,2,4,1,0,1,0,0,10,2,1,0,5,2,18,0,0,0,8,10,0,0,0,0,1,0,0,0,0,6,1,0,22,3,6,0,0,7,0,0,0,0,7,3,2,1,5,3,20,5,0,0,1,8,0,1,0,1,121,1,0,0,0,7,1,1,10,0,1,6,18,10,0,0,1,1,0,0,0,0,3,0,0,15,1,2,0,3,61,0,19,0,11,0,3,1,1,1,25,6,1,1,2,7,9,1,11,25,7,39,4,8,0,0,5,0,8,0,0,0,25,0,8,0,7,1,36,11,0,0,4,2,67,2,1,0,0,0,3,30,4,49,16,1,1,3,22,31,0,1,0,2,11,25,2,1,0,10,2,1,0,4,2,0,58,134,11,6,0,1,0,1,0,0,2,7,2,4,0,0,9,0,0,8,1,0,0,3,10,0,9,1,1,0,0,0,4,0,0,14,0,0,0,8,2,1,2,0,0,1,0,9,2,12,9,0,0,67,1,0,0,2,0,2,1,24,3,2,5,0,10,1,1,0,2,0,1,1,0,0,1,0,0,0,2,1,0,0,2,5,4,1
0,14,0,14,3,0,12,0,0,10,2,1,5,2,0,0,2,0,2,1,1,0,16,28,26,0,5,9,6,3,152,0,19,1,1,6,0,0,257,0,87,1,0,5,0,0,22,1,1,0,0,5,0,0,6,6,7,0,3,0,10,1,0,0,4,9,0,0,0,0,0,0,6,1,0,3,3,0,19,7,3,0,0,6,0,0,0,1,4,2,0,0,2,4,11,0,1,0,7,8,0,0,0,3,90,1,0,1,0,5,2,0,46,0,1,11,13,9,1,0,1,0,0,0,2,0,3,0,0,9,1,2,0,17,49,0,13,0,12,0,7,0,1,1,33,24,9,0,5,3,8,2,20,19,4,124,2,7,0,2,1,0,2,0,1,0,12,0,7,0,2,1,28,7,0,0,4,2,44,9,1,0,1,0,1,17,19,18,13,1,1,4,11,21,0,4,0,0,9,13,11,5,0,8,3,1,0,15,1,0,38,49,14,1,0,8,0,4,0,0,4,2,6,3,0,1,5,0,0,4,4,0,0,2,5,0,9,1,1,0,0,1,4,0,4,16,0,0,0,16,0,4,6,0,0,1,0,5,1,8,6,0,0,59,3,0,0,2,0,3,5,21,3,5,1,0,8,1,2,0,2,0,1,5,0,0,0,0,0,0,9,4,0,0,8,8,2,6
0,18,0,15,3,1,16,0,1,8,2,1,7,0,0,1,2,0,4,4,1,1,10,6,16,0,5,13,7,0,133,0,18,0,0,8,0,0,257,3,95,1,0,6,0,0,32,2,3,1,0,3,1,0,13,6,8,0,7,0,13,1,0,0,4,10,0,0,0,0,0,0,4,0,0,1,4,0,13,8,4,0,0,10,0,0,0,0,3,0,2,0,2,2,9,3,3,0,9,6,0,0,0,1,68,1,0,1,0,2,1,0,57,0,0,7,12,2,0,0,1,0,0,0,2,0,2,0,0,12,2,0,0,16,46,0,9,0,9,0,5,0,1,2,22,19,5,0,4,5,13,2,34,24,5,155,4,10,1,1,1,0,3,0,0,0,14,0,4,0,4,0,18,9,0,0,5,1,35,9,0,0,0,0,0,18,17,18,12,1,0,6,13,19,1,6,0,1,10,8,7,5,0,10,4,3,0,10,0,2,37,50,10,4,0,8,0,6,1,0,1,4,6,3,0,1,5,0,0,7,3,0,0,1,4,0,7,1,1,0,0,1,4,0,1,15,1,0,2,14,0,0,2,0,1,1,0,4,3,10,6,0,0,64,2,0,0,0,0,3,9,16,2,5,2,0,6,1,2,0,0,0,0,2,0,0,0,0,0,1,3,5,0,0,5,6,1,5
1,19,0,14,4,1,15,0,0,8,2,2,4,0,1,0,4,0,3,4,1,0,15,11,27,0,7,11,10,2,156,0,13,4,2,12,0,0,240,1,85,1,0,5,0,0,34,5,0,0,0,9,0,1,11,4,13,0,8,1,9,1,0,0,14,4,0,0,0,0,0,0,5,0,0,1,2,0,18,8,4,0,0,5,0,0,1,0,3,3,1,0,6,4,7,1,0,0,11,10,0,1,0,1,77,1,0,2,0,6,1,1,56,0,2,22,11,2,1,0,1,0,0,0,3,0,3,0,0,15,2,1,0,22,42,0,7,0,14,1,7,0,2,1,39,28,2,0,4,4,20,2,11,15,4,187,8,5,0,1,1,0,3,1,0,0,12,0,11,0,5,0,23,5,0,0,3,2,42,6,1,0,1,0,1,22,33,17,9,2,0,3,15,19,2,3,1,1,11,10,5,6,0,9,2,0,0,16,0,1,35,45,17,4,1,9,0,3,0,1,1,1,10,4,0,1,7,0,0,8,4,0,0,3,3,0,8,1,0,0,0,1,4,0,1,10,0,0,2,14,0,3,1,0,0,1,0,3,3,5,5,0,0,35,2,0,0,2,0,4,5,18,3,3,2,0,6,0,4,0,1,0,2,5,0,0,0,0,0,0,8,2,0,0,4,4,1,5
